"cod";"lat";"lon";"name"
"98";"A614";"-19.356923";" -40.068680";"ES-Linhares"
"99";"A623";"-18.695265";" -40.390572";"ES-NovaVenecia"
"100";"A622";"-21.100805";" -41.039395";"ES-PresidenteKennedy"
"101";"A613";"-19.988388";" -40.579572";"ES-SantaTeresa"
"102";"A616";"-18.676198";" -39.864051";"ES-SãoMateus"
"103";"A612";"-20.271094";" -40.306069";"ES-Vitória"
"104";"A024";"-14.133074";" -47.523258";"GO-AltoParaisodeGoias"
"105";"A013";"-15.902658";" -52.245172";"GO-Aragarças"
"106";"A023";"-16.966841";" -51.817567";"GO-Caiaponia"
"107";"A034";"-18.154779";" -47.927614";"GO-Catalão"
"108";"A036";"-16.784896";" -47.612966";"GO-Cristalina"
"109";"A022";"-15.220199";" -48.990107";"GO-Goianesia"
"110";"A002";"-16.642841";" -49.220222";"GO-Goiania"
"111";"A014";"-15.939729";" -50.141433";"GO-Goiás"
"112";"A028";"-16.423059";" -51.148800";"GO-Ipora"
"113";"A015";"-14.979792";" -49.539977";"GO-Itapaci"
"114";"A035";"-18.409761";" -49.192061";"GO-Itumbiara"
"115";"A016";"-17.923622";" -51.717467";"GO-Jatai"
"116";"A012";"-16.260542";" -47.966962";"GO-Luziânia"
"117";"A026";"-17.569319";" -52.596483";"GO-Mineiros"
"118";"A032";"-13.253520";" -46.890326";"GO-MonteAlegredeGoiás"
"119";"A003";"-17.745066";" -49.101698";"GO-Morrinhos"
"120";"A004";"-14.469358";" -48.485756";"GO-Niquelandia"
"121";"A027";"-16.962536";" -50.425450";"GO-Parauna"
"122";"A033";"-17.304153";" -48.284131";"GO-PiresdoRio"
"123";"A017";"-14.089210";" -46.366497";"GO-Posse"
"124";"A025";"-17.785303";" -50.964869";"GO-RioVerde"
"125";"A011";"-18.969142";" -50.633449";"GO-SãoSimão"
"126";"A037";"-16.679786";" -48.618171";"GO-Silvânia"
"127";"A223";"-9.108199";" -45.932016";"MA-AltoParnaiba"
"128";"A220";"-4.243056";" -44.794993";"MA-Bacabal"
"129";"A204";"-7.455609";" -46.027546";"MA-Balsas"
"130";"A221";"-5.506782";" -45.237053";"MA-BarradoCorda"
"131";"A238";"-4.320597";" -46.449503";"MA-Buriticupu"
"132";"A205";"-7.337269";" -47.459839";"MA-Carolina"
"133";"A237";"-4.821352";" -43.343659";"MA-Caxias"
"134";"A206";"-3.74269";" -43.3521";"MA-Chapadinha"
"135";"A222";"-6.033167";" -44.233402";"MA-Colinas"
"136";"A224";"-6.653272";" -47.418241";"MA-Estreito"
"137";"A218";"-2.592352";" -42.707529";"MA-FarolPreguiças"
"138";"A217";"-2.270811";" -43.624043";"MA-FarolSantana"
"139";"A207";"-5.816085";" -46.162200";"MA-Grajau"
"140";"A225";"-5.555723";" -47.459794";"MA-Imperatriz"
"141";"A203";"-2.526771";" -44.213577";"MA-SãoLuis"
"142";"A219";"-1.661224";" -45.372571";"MA-Turiaçu"
"143";"A549";"-15.751536";" -41.457787";"MG-ÁguasVermelhas"
"144";"A534";"-19.532768";" -41.090801";"MG-Aimorés"
"145";"A508";"-16.166773";" -40.687756";"MG-Almenara"
"146";"A505";"-19.605696";" -46.949617";"MG-Araxá"
"147";"A502";"-21.228373";" -43.767703";"MG-Barbacena"
"148";"F501";"-19.980034";" -43.958651";"MG-BeloHorizonte-Cercadinho"
"149";"A521";"-19.883945";" -43.969397";"MG-BeloHorizonte-Pampulha"
"150";"A544";"-15.524262";" -46.435536";"MG-Buritis"
"151";"A530";"-21.918066";" -46.382996";"MG-Caldas"
"152";"A519";"-19.539210";" -49.518133";"MG-CampinaVerde"
"153";"A541";"-17.705504";" -42.389256";"MG-Capelinha"
"154";"A554";"-19.735757";" -42.137146";"MG-Caratinga"
"155";"A548";"-15.300159";" -45.617431";"MG-ChapadaGaucha"
"156";"A520";"-19.985860";" -48.151574";"MG-ConceiçãodasAlagoas"
"157";"A557";"-21.546728";" -43.261029";"MG-CoronelPacheco"
"158";"A538";"-18.747711";" -44.453785";"MG-Curvelo"
"159";"A537";"-18.231052";" -43.648269";"MG-Diamantina"
"160";"A536";"-19.481935";" -45.593932";"MG-DoresdoIndaiá"
"161";"A543";"-14.912284";" -42.808473";"MG-Espinosa"
"162";"A535";"-19.885398";" -44.416883";"MG-Florestal"
"163";"A524";"-20.454930";" -45.453825";"MG-Formiga"
"164";"A532";"-18.830354";" -41.977007";"MG-GovernadorValadares"
"165";"A533";"-18.786842";" -42.942921";"MG-Guanhães"
"166";"A546";"-17.561349";" -47.199251";"MG-Guarda-Mor"
"167";"A555";"-20.031457";" -44.011249";"MG-Ibirité(RolaMoça)"
"168";"A550";"-16.575667";" -41.485588";"MG-Itaobim"
"169";"A512";"-18.952907";" -49.525072";"MG-Ituitaba"
"170";"A553";"-17.784770";" -46.119394";"MG-JoãoPinheiro"
"171";"A518";"-21.769965";" -43.364329";"MG-JuizdeFora"
"172";"A556";"-20.263378";" -42.182817";"MG-Manhuaçu"
"173";"A540";"-18.780620";" -40.986505";"MG-Mantena"
"174";"A531";"-22.314567";" -45.373049";"MG-MariadaFé"
"175";"A539";"-15.085958";" -44.016036";"MG-Mocambinho"
"176";"A526";"-14.408228";" -44.404123";"MG-Montalvania"
"177";"A506";"-16.686316";" -43.843763";"MG-MontesClaros"
"178";"A509";"-22.861604";" -46.043365";"MG-MonteVerde"
"179";"A517";"-21.104867";" -42.375904";"MG-Muriae"
"180";"A513";"-20.556592";" -43.756220";"MG-OuroBranco"
"181";"A529";"-22.395799";" -44.961909";"MG-PassaQuatro"
"182";"A516";"-20.745237";" -46.633916";"MG-Passos"
